log_annual_credit,log_annual_debit,net_savings_ratio,monthly_burn_rate,salary_inflow_ratio,monthly_credit_cv,salary_regularity_score,bonus_lump_sum_ratio,investment_ratio,fixed_obligation_ratio,discretionary_ratio,tax_shield_ratio,upi_velocity_index,micro_spend_density,log_avg_ticket_size,capital_gains_flux,account_number,bank_name,total_transactions,raw_annual_credits,raw_annual_debits
17.2276,17.0995,0.1203,0.8797,0.3386,0.4694,0.25,0.0,0.0,0.0671,0.0,0.0,0.1358,0.0,12.7711,0.0015,71854921337,ROYAL COMMERCE BANK,162,30328025.32,26680705.84
16.6699,16.7219,-0.0534,1.0534,0.6062,1.0707,0.8333,0.0,0.0,0.0153,0.0,0.0,0.0888,0.0,11.5663,0.0,72189100705,Paramount Banking Corporation,338,17364022.519999996,18290444.82
17.0938,17.1259,-0.0326,1.0326,0.3931,1.3805,0.75,0.0,0.0,0.0003,0.0,0.0004,0.1043,0.0,12.0163,0.0,72478117548,Royal Commerce Bank,326,26531548.68,27396112.4
16.7928,16.8487,-0.0575,1.0575,0.4923,1.2707,0.6667,0.0,0.0,0.0,0.0,0.0,0.141,0.0,11.7713,0.0,72541788493,Velocity Banking Corporation,312,19633939.400000002,20763772.56
19.2376,19.2022,0.0348,0.9652,0.3741,0.2747,0.25,0.0,0.0,0.0074,0.0,0.0,0.1043,0.0,14.1263,0.0,74048203960,UNITY NATIONAL BANK,326,226346792.7,218477478.0
17.2068,17.1985,0.0082,0.9918,0.4436,2.9185,0.8333,0.0,0.0,0.0029,0.0,0.0003,0.0802,0.0,12.1151,0.0008,75137514967,Prosperity Bank Limited,324,29703098.46,29459733.439999998
17.3399,17.3155,0.0242,0.9758,0.6418,1.1504,0.8333,0.0,0.0,0.0002,0.0,0.0002,0.1152,0.0,12.2219,0.0,75874379357,Royal Commerce Bank,330,33934650.34,33115087.14
17.829,17.8713,-0.0431,1.0431,0.4366,0.8637,0.25,0.0,0.0,0.0167,0.0,0.0,0.1429,0.0,12.769,0.0001,76395069446,MILESTONE BANKING SOLUTIONS,322,55340868.42,57727987.04
16.4926,16.5679,-0.0782,1.0782,0.2111,0.5195,0.25,0.0,0.0,0.0313,0.0,0.0002,0.1341,0.0,12.1243,0.0031,76404266174,PROGRESSIVE NATIONAL BANK,164,14542998.219999997,15680655.649999999
16.0829,16.0538,0.0286,0.9714,0.3667,1.5001,0.8333,0.0,0.0,0.0165,0.0,0.0,0.1069,0.0,10.9996,0.0019,77637743797,Synergy Bank Limited,318,9653853.54,9377672.14
17.4529,17.4142,0.038,0.962,0.5477,0.8838,0.25,0.3533,0.0,0.0226,0.0,0.0,0.1358,0.0,13.0393,0.004,77659088047,CORNERSTONE BANK OF INDIA,162,37991751.42,36549263.21
17.2101,17.0645,0.1354,0.8646,0.4964,1.0506,0.9167,0.0,0.0,0.0003,0.0,0.0003,0.118,0.0,12.0585,0.0,77664960765,Unity National Bank,322,29801103.12,25764942.5
17.6382,17.7084,-0.0726,1.0726,0.607,1.2825,1.0,0.0,0.0,0.0,0.0,0.0,0.1226,0.0,12.6305,0.0013,78411628570,Progressive National Bank,310,45729287.31999999,49051271.36
14.0108,14.113,-0.1077,1.1077,0.4171,1.8841,0.75,0.0,0.0,0.0,0.0,0.0,0.1111,0.0017,8.9757,0.0022,78439336112,Progressive National Bank,324,1215603.7599999998,1346519.02
17.9983,18.043,-0.0457,1.0457,0.2919,0.5719,0.25,0.1758,0.0,0.0396,0.0,0.0,0.1218,0.0,13.6642,0.0015,78567198875,INDUSBANK LIMITED,156,65547677.019999996,68544872.0
17.6708,17.696,-0.0255,1.0255,0.6483,1.1545,0.9167,0.0,0.0,0.0,0.0067,0.0,0.1019,0.0,12.6272,0.0,79097758719,Citadel Bank of India,314,47242155.42,48446353.3
17.0891,16.9072,0.1663,0.8337,0.382,1.0332,0.75,0.0,0.0,0.0118,0.0,0.001,0.1118,0.0,11.8665,0.0,80310637389,Cornerstone Bank of India,340,26405635.160000004,22013863.32
16.5068,16.4482,0.0569,0.9431,0.4591,0.5401,0.25,0.0,0.0,0.0,0.0,0.0,0.1104,0.0,12.1341,0.0012,80462665678,PARAMOUNT BANKING CORPORATION,154,14750397.66,13910511.87
16.9316,16.7171,0.193,0.807,0.4875,1.2875,0.8333,0.0,0.0,0.0,0.0,0.0,0.1728,0.0,11.7425,0.0,80945330034,Progressive National Bank,324,22557484.400000002,18203879.0
18.1265,18.1617,-0.0359,1.0359,0.2943,0.321,0.25,0.0,0.0,0.0,0.0,0.0,0.1582,0.0,13.7748,0.0015,81019457835,INDUSBANK LIMITED,158,74513261.2,77186758.96000002
18.2504,18.154,0.0919,0.9081,0.3138,0.0916,0.25,0.0,0.0,0.0187,0.0,0.0,0.1212,0.0,13.7906,0.0034,81169579904,PARAMOUNT BANKING CORPORATION,165,84342359.19999999,76595040.84
16.3484,16.2954,0.0516,0.9484,0.4248,1.2985,0.6667,0.0,0.0,0.008,0.0,0.0,0.1534,0.0001,11.2285,0.0012,81490805470,IndusBank Limited,326,12589590.96,11940487.62
16.6643,16.7003,-0.0366,1.0366,0.3558,0.8246,1.0,0.0,0.0,0.0002,0.0,0.0002,0.1098,0.0,11.5826,0.0012,81797225187,Zenith Bank of India,328,17266945.48,17899193.72
17.0024,17.0403,-0.0386,1.0386,0.4934,0.0856,0.25,0.0,0.0,0.0119,0.0,0.0,0.1111,0.0,12.6271,0.0002,81815716840,INDUSBANK LIMITED,162,24213619.670000006,25148934.03
19.5163,19.5169,-0.0006,1.0006,0.518,0.2925,0.25,0.0,0.0,0.0117,0.0,0.0,0.1228,0.0,15.0681,0.003,82098771188,ZENITH BANK OF INDIA,171,299095312.46,299279872.86
17.2185,17.0799,0.1295,0.8705,0.5443,1.3725,0.75,0.0,0.0,0.0227,0.0,0.0,0.1411,0.0,12.0579,0.0,82179940373,Zenith Bank of India,326,30054607.22,26163578.54
19.4242,19.4487,-0.0248,1.0248,0.3257,0.057,0.25,0.0,0.0,0.0,0.0,0.0,0.1139,0.0,14.374,0.0002,82237950193,CORNERSTONE BANK OF INDIA,316,272788143.09999996,279565796.44000006
16.7324,16.7743,-0.0428,1.0428,0.4703,1.1515,0.6667,0.0,0.0,0.0,0.0229,0.0,0.1447,0.0,11.6846,0.0013,83981788719,Velocity Banking Corporation,318,18482780.5,19273816.28
16.6894,16.7684,-0.0823,1.0823,0.4367,1.686,0.75,0.0,0.0,0.0352,0.0,0.001,0.1138,0.0,11.6117,0.0,84066925404,Prosperity Bank Limited,334,17705691.7,19162016.52
17.0929,17.0418,0.0498,0.9502,0.6356,1.783,0.8333,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,12.0114,0.0,84203621210,Progressive National Bank,314,26506640.78,25186557.200000003
19.0524,19.0752,-0.023,1.023,0.4648,0.2204,0.25,0.0,0.0,0.025,0.0,0.0,0.1139,0.0,14.6944,0.0012,84237508943,PROSPERITY BANK LIMITED,158,188093415.67999998,192417852.59
17.2168,17.2372,-0.0206,1.0206,0.3163,0.3365,0.25,0.0,0.0,0.0,0.004,0.0,0.1274,0.0,12.8639,0.0012,84370336629,UNITY NATIONAL BANK,157,30002668.68,30619606.01
18.4609,18.4878,-0.0273,1.0273,0.5418,0.786,0.25,0.0,0.0,0.0,0.0,0.0001,0.1024,0.0,14.0556,0.0056,84555911581,HERITAGE BANK LIMITED,166,104101360.12,106941292.13
16.4942,16.715,-0.247,1.247,0.4099,0.3703,0.25,0.0,0.0,0.0269,0.0077,0.0,0.0875,0.0,12.2286,0.0034,84815109873,ZENITH BANK OF INDIA,160,14565918.280000001,18164085.33
17.9809,18.0589,-0.0812,1.0812,0.5804,0.5266,0.25,0.1923,0.0,0.0,0.0,0.0,0.1076,0.0,13.6512,0.0032,85057987727,UNITY NATIONAL BANK,158,64416350.81,69644524.36999999
17.3226,17.3906,-0.0704,1.0704,0.4777,1.3145,0.9167,0.0,0.0,0.0,0.0,0.0,0.1161,0.0,12.3138,0.001,85630361321,Metropolitan Bank,310,33351001.419999994,35698325.66
16.1074,16.095,0.0123,0.9877,0.6412,1.3774,0.6667,0.0,0.0,0.0009,0.0,0.0009,0.135,0.0,11.0075,0.0,86226762875,Citadel Bank of India,326,9893355.599999998,9771919.86
18.962,18.9373,0.0244,0.9756,0.3635,0.2436,0.25,0.0,0.0,0.0106,0.0,0.0,0.0926,0.0,14.5553,0.002,86506037054,VELOCITY BANKING CORPORATION,162,171825994.46000004,167640883.75000003
16.4106,16.4525,-0.0428,1.0428,0.5511,1.3426,0.9167,0.0,0.0,0.0,0.0048,0.0,0.0645,0.0,11.3883,0.0,86738991633,Metropolitan Bank,310,13397308.36,13971046.740000002
18.8017,18.7324,0.0669,0.9331,0.2856,0.1919,0.25,0.0,0.0,0.0153,0.0,0.0,0.1287,0.0,14.3191,0.0016,88424875386,MILESTONE BANKING SOLUTIONS,171,146371532.04,136573213.05
17.9044,17.986,-0.085,1.085,0.2455,0.5418,0.25,0.1932,0.0,0.0,0.0,0.0,0.0759,0.0,13.5766,0.0098,88487347221,CITADEL BANK OF INDIA,158,59675713.33,64749914.06000001
17.4428,17.4692,-0.0268,1.0268,0.4402,0.9962,0.75,0.0,0.0,0.005,0.0,0.0,0.1187,0.0,12.3809,0.0,88888465116,Prosperity Bank Limited,320,37610094.2,38616620.2
15.2587,15.2102,0.0474,0.9526,0.5497,1.1853,0.8333,0.0,0.0,0.0017,0.0186,0.0017,0.1758,0.0002,10.1289,0.0,89311272158,Zenith Bank of India,330,4234331.199999999,4033689.0799999996
18.8555,18.9414,-0.0898,1.0898,0.3586,0.6385,0.25,0.2277,0.0,0.0,0.0,0.0,0.1076,0.0,14.5299,0.0,89773485859,PROGRESSIVE NATIONAL BANK,158,154464412.25,168331298.98999998
16.6288,16.649,-0.0204,1.0204,0.4662,1.3671,0.8333,0.0,0.0,0.0001,0.0,0.0001,0.1506,0.0,11.527,0.0,89872837954,Progressive National Bank,332,16664645.819999998,17004358.34
18.6934,18.6093,0.0807,0.9193,0.4941,0.0106,0.25,0.0,0.0,0.0,0.0,0.0,0.0823,0.0,14.2828,0.0025,90007491297,ZENITH BANK OF INDIA,158,131359342.92000002,120752230.61999997
18.035,18.1015,-0.0688,1.0688,0.4459,2.6365,0.8333,0.3677,0.0,0.0,0.0,0.0,0.1146,0.0,13.0126,0.0012,90232806172,Heritage Bank Limited,314,68000523.52000001,72677682.85999998
18.3987,18.4375,-0.0396,1.0396,0.6941,0.5156,0.9167,0.0,0.0,0.0,0.0,0.0,0.0962,0.0,13.3684,0.0,90543677448,IndusBank Limited,312,97821888.91999999,101691616.32000001
17.5574,17.6244,-0.0693,1.0693,0.7044,0.7893,1.0,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,12.5353,0.0,90740203149,Trustmark Bank,314,42178543.559999995,45102316.86
18.6549,18.6347,0.02,0.98,0.4709,0.3417,0.25,0.0,0.0,0.0,0.0,0.0001,0.1145,0.0,13.5328,0.0032,91195532925,PARAMOUNT BANKING CORPORATION,332,126387321.56,123860677.76
17.5443,17.4284,0.1094,0.8906,0.6276,0.788,0.25,0.276,0.0,0.0167,0.0,0.0002,0.1205,0.0,13.0692,0.006,92432539257,HERITAGE BANK LIMITED,166,41627759.83,37073409.18
19.1599,19.11,0.0487,0.9513,0.4056,0.4682,0.25,0.1983,0.0,0.0068,0.0,0.0,0.097,0.0,14.7225,0.0014,92670086425,PROGRESSIVE NATIONAL BANK,165,209439974.81999996,199240939.83999997
18.2042,18.2039,0.0003,0.9997,0.7975,1.4867,0.8333,0.0,0.0,0.0051,0.0,0.0001,0.1212,0.0,13.0981,0.0,92911879264,Citadel Bank of India,330,80533505.13999999,80512066.96
17.0176,16.9891,0.0282,0.9718,0.5999,1.1301,0.5833,0.0,0.0,0.0139,0.0,0.0005,0.1628,0.0,11.856,0.0,93237170696,Citadel Bank of India,344,24584353.279999997,23892162.42
17.3903,17.4476,-0.059,1.059,0.558,1.2011,0.25,0.2718,0.0,0.008,0.0,0.0,0.0793,0.0,13.0127,0.0036,93384223381,METROPOLITAN BANK,164,35686841.85000001,37793209.730000004
15.8878,15.9133,-0.0258,1.0258,0.3842,1.5386,0.75,0.0,0.0,0.0053,0.0,0.0,0.141,0.0003,10.8508,0.0,93416161428,Progressive National Bank,312,7943215.920000001,8148224.82
17.9233,17.964,-0.0416,1.0416,0.3792,0.4743,0.25,0.0,0.0,0.0,0.0,0.0,0.0892,0.0,13.5808,0.0009,93457819175,METROPOLITAN BANK,157,60811161.52,63339573.04
17.2059,17.221,-0.0152,1.0152,0.575,1.559,0.8333,0.0,0.0,0.0392,0.0,0.0,0.1288,0.0,12.1197,0.0,93638283222,IndusBank Limited,326,29676455.76,30128306.900000002
17.8871,17.8962,-0.0091,1.0091,0.5235,0.0793,0.25,0.0,0.0,0.0,0.0,0.0,0.0864,0.0,13.4972,0.0019,93671569562,METROPOLITAN BANK,162,58653034.370000005,59184790.86000001
17.4265,17.4163,0.0102,0.9898,0.7386,1.2864,0.9167,0.0,0.0,0.0003,0.0,0.0003,0.0783,0.0,12.3094,0.0014,94447540786,Velocity Banking Corporation,332,37002944.739999995,36625668.8
16.89,17.093,-0.2251,1.2251,0.351,0.5596,0.25,0.0,0.0,0.0224,0.0,0.0002,0.1288,0.0,12.596,0.0045,94650079468,HERITAGE BANK LIMITED,163,21638132.46,26509645.95
19.4287,19.4431,-0.0145,1.0145,0.5029,0.3375,0.25,0.2357,0.0,0.0225,0.0,0.0,0.118,0.0,15.0477,0.0,94751801234,VELOCITY BANKING CORPORATION,161,274022723.08,277993712.12999994
11.1917,11.9611,-1.1584,2.1584,0.4847,0.782,0.25,0.0,0.0,0.0508,0.0,0.0,0.1203,0.0031,7.2798,0.0489,95246614414,CITADEL BANK OF INDIA,158,72525.8,156536.92999999996
15.1696,15.1291,0.0397,0.9603,0.4445,1.3168,0.8333,0.0,0.0,0.0167,0.0,0.0,0.1288,0.0002,10.0559,0.0,95479438059,Velocity Banking Corporation,326,3873356.96,3719434.1199999996
18.146,18.0975,0.0474,0.9526,0.6322,1.6965,0.75,0.3367,0.0,0.0216,0.0,0.0001,0.0833,0.0,12.9981,0.0,95968475532,Progressive National Bank,336,75981687.58000001,72381363.76
13.8854,14.0627,-0.194,1.194,0.5963,1.3962,0.75,0.0,0.0,0.0,0.0,0.0,0.1013,0.0004,8.9155,0.0,96750646515,Metropolitan Bank,316,1072360.82,1280445.82
16.0762,16.0135,0.0607,0.9393,0.5814,1.5791,1.0,0.0,0.0,0.0155,0.0,0.0018,0.1,0.0,10.9096,0.0,96900933738,Synergy Bank Limited,340,9589449.18,9007156.400000002
19.6872,19.6636,0.0234,0.9766,0.4924,0.8126,0.25,0.194,0.0,0.0,0.0,0.0,0.0563,0.0,15.2934,0.0048,96940418624,METROPOLITAN BANK,160,354844314.6,346558024.03999996
16.8556,16.7411,0.1081,0.8919,0.5162,0.3831,0.25,0.1887,0.0,0.0137,0.0,0.0003,0.1243,0.0,12.3632,0.0,97189968246,PROSPERITY BANK LIMITED,169,20906568.040000003,18645880.73
17.1843,17.2149,-0.0311,1.0311,0.5003,1.0426,0.5833,0.0,0.0,0.014,0.0,0.0007,0.1265,0.0,12.0877,0.0,97801221995,Trustmark Bank,332,29043673.36,29945972.059999995
17.3387,17.2801,0.0569,0.9431,0.5429,1.18,0.75,0.0,0.0,0.0,0.0,0.0,0.1625,0.0,12.2347,0.0,98258124363,Progressive National Bank,320,33892568.14,31963615.120000005
17.5933,17.6116,-0.0185,1.0185,0.3072,0.4577,0.25,0.0,0.0,0.0,0.0,0.0,0.0759,0.0,12.5399,0.0021,98758289918,ZENITH BANK OF INDIA,316,43717843.480000004,44527839.86
18.0138,18.0889,-0.0779,1.0779,0.3806,0.4111,0.25,0.0,0.0,0.0,0.0,0.0,0.1603,0.0,13.0022,0.0,99093498837,PARAMOUNT BANKING CORPORATION,312,66573968.17999999,71762012.56
19.8608,19.858,0.0028,0.9972,0.4677,0.5853,0.25,0.2494,0.0,0.0034,0.0,0.0,0.1446,0.0,15.4406,0.0008,99912110708,CITADEL BANK OF INDIA,166,422133077.33,420947762.02
